# Erdal Ronahî <www.ferheng.org>
# Letzte Version: 2005-07-29
# Kurdisch	Deutsch
# Kurdî	Elmanî
me'rifet	Einsicht 
me'rifet	Kultiviertheit 
me'rifet	Verstand 
mebest	Absicht
mebest	Tor
mebûs	Abgeordnete
mecal	Gelegenheit
mecal	Kraft
mecal	Macht
mecal	Möglichkeit
mecal	Situation
mecazî	metaphorisch
mecazî	übertragen
mecbur bûn	gezwungen sein/ werden
mecbur bûn	verpflichtet sein/ werden
meclîs	Parlament
meclîs	Rat
meclîs	Versammlung
med	Appetit
mede	appetitlich
mede	lecker
mefsik	Sieb
meh	Monat
mehandin	zerstören
mehane girtin	etwas als Vorwand angeben
mehane girtin	etwas vorschützen
mehbûb	geliebt
mehek	Augenblick [m.]
mehek	Moment
mehek	Prüfstein
mehek	Wahrheit
mehir birîn	heiraten
mehir birîn	Morgengabe teilen
mehîn	Stute
mehîr	ayran Suppe
mehkem kirin	befestigen
mehkem kirin	festmachen
mehkem kirin	verstärken
mehlûq	Geschöpf
mehlûq	Kreatur
mehr	Hochzeit
mehrkirin	heiraten
mehrûm	beraubt
mehrûm	entbehrend
mehrûm	hilflos
mehrûm	verlassen
mehrûm	wem etwas versagt ist
mehrûm	wer etwas entbehren muss
mehşer	Letztes Urteil
mehşer	Ort des Jüngsten Gerichts
mehşer	Weltuntergang
mekteb	Schule
mekteba bilind	Hochschule
mel'ûn	verdammt
mel'ûn	verflucht
mel'ûn	verwünscht
melaike	Engel
melaxme	Dreschplatz
melaxme	Tenne
melayike	Engel
melayîke	Engel
mele	Imam ( der Moschee )
melek	Engel
melendî	Fackel
melevan	Schwimmer
melevanî	Schwimmen
melhem	Creme
melisandin	verdauen
melkeb	Korb
melkes	Besen
melûl	bekümmert
melûl	betrübt
melûl	kraftlos
melûl	leidend
melûl	niedergeschlagen
melûl	schwach
melûl	traurig
melûl kirin	bekümmern
melûl kirin	peinigen
melûl kirin	quälen
melûl kirin	traurig werden lassen
melûl kirin	verdrießen
memik	Brust
memik	Busen
menax	Streit
menax	Zwist
menî	Bedeutung
menî	gesund
menî	Grund
menî	Sinn
menî	stark
menî	Stärke
menî	Ursache
menî	Vorwand
mentiq	Beredsamkeit
mentiq	Dialektik
mentiq	Logik
menzel	Raum
menzel	Zimmer
meqam	Behörde
meqam	melodische Tonfolge
meqam	melodische Weise
meqes	Schere
meqsed	Absicht
meqsed	Ziel
meqsed	Zweck
mer	Taille
mera	uns
meram	Absicht
meram	was man meint
meram	was man sagen will
meram	Wunsch
meram	Ziel
meraq	Begehren
meraq	Begehrlichkeit
meraq	großes Interesse
meraq	Interesse
meraq	Kummer
meraq	Neugier
meraq	Neugierde
meraq	Sehnsucht
meraq	Sorge
meraq	Verlangen
meraq	Wunsch
meraq kirin	begehren
meraq kirin	bekümmern
meraq kirin	Interesse haben
meraq kirin	machen, sich Sorgen ~
meraq kirin	wünschen
merbend	der Sattelgurt, der unter dem Schwanz befestigt wird
merbend	Kette
merbend	Koppel am Tragsattel des Esels
merbend	Sicherheitskette
merc	Bedingung
merc	Umstand
merc girtin	wetten
merdan	Hammer
merdî	sämtliche positiven männlichen Eigenschaften
mered	Fenster
merek	Lager der Stroh
merem	Absicht
merem	was man sagen will
merem	Wunsch
merem	Ziel
mereq	Neugier
mereq	Sorge
mereq	Verlangen
mereq	Wunsch
mereq kirin	neugierig sein
merexes kirin	entlassen
merexes kirin	wegschicken
merez	Krankheit
merez	Plage
merez	Übel
merhemet	Gerechtigkeit
merhemet	Gnade
meriv	Angehörige/r
meriv	Mensch
meriv	Verwandte/r
meriv tirê	es scheint
meriv tirê	man hätte denken können
meriv tirê	man könnte meinen
merivantî	Beziehungen
merivantî	Verwandtschaft
merivatî	Beziehungen
merivatî	Verwandtschaft
merixîn	liegen
meriz	Krankheit
meriz	Plage
meriz	Übel
merî	Angehörige/r
merî	Mann
merî	Person
merî	Verwandte/r
merkeb	Esel
merkeb	Reittier
merkep	Esel
merkep	Reittier
merkez	Zentrum
merş	Teppich
mertal	Deckung
mertal	Schild
mertal	Schirm
mertal	Schutzschild
mertal	Schutzwall
mertalên zindî	lebende Schutschilde
mertîn	Gewehr
merx	Fichte
merx	Wacholder
merx 	Tanne
merzel	Friedhof
merzel	Grab
mes (männer)	Hausschuhe
mes'ûd	beglückt
mes'ûd	froh
mes'ûd	glücklich
mesa	barfüßig
mesafe	Abstand
mesaxtin	zerstören
meseb	Glaubensrichtung
meseb	Konfession
meseb	religiöses Bekenntnis
mesele	Angelegenheit
mesele	Erzählung
mesele	Fall
mesele	Frage
mesele	Geschichte
mesele	Problem
mesele	Vorfall
mesele	zum Beispiel
Meshefa Reş	das schwarze Buch
mesîn	Schnabelkännchen
mesken	Bleibe
mesken	Wohnung
mesken	Zuhause
mesqelkirin	polieren
mesref	Aufwand
mesref	Ausgaben
mesref	Gebühr
mesref	Gebühren
mesref	Kosten
mest	berauscht
mest	betrunken
mest	bezaubert
mest	trunken
mest 	entrückt
mesûd	beglückt
mesûd	glücklich
meş	Demonstration
meş	Gang
meş	Marsch
meşayîx	Anhänger eines Scheich
meşayîx	Geistlichkeit
meşayîx	Schüler
meşin	marschieren
meşîn	spatzieren gehen
meşîn <meş>	gehen (schnell)
meşk	Ledersack aus Ziegenleder
meşk	Milchschlauch
meşqul	beschäftigt
meşqul	besetzt
meşqul	überfüllt
meşqûlî	Interesse
meşxul	beschäftigt
met	Tante (väterlicherseits)
metal	Deckung
metal	Kummer
metal	Rätsel
metal	Schild
metal	Schutzschild
metal	Schutzwall
metal	Sorge
metal	überrascht
metal	verblüfft
metel	Rätsel
metel	überrascht
metel	verblüfft
metel mayîn	überwältigt sein
metel mayîn	wundern, sich ~
metelok	Säge
metelok	Sinnspruch
metelok	Sprichwort
methel	Rätsel
methel	überrascht
methel	verblüfft
methelok	Sinnspruch
methelok	Sprichwort
metirse!	keine Angst!
metirsî	Besorgtheit
metirsî	Sorge
metlûb	Bitte
metlûb	Forderung
metlûb	Lehrer
metlûb	Wunsch
mewc	Morgenwind
mewc	Welle
mewc	Woge
mewcan	Welle
mewcan	Woge
mewcîn	bewegen, sich hin und her ~
mewcîn	unruhig werden
mewcûd	existierend
mewcûd	vorhanden seiend
mewcûd bûn	dasein
mewcûd bûn	in...Zustand sein
mewicî	existierend
mewicî	vorhanden seiend
mewîj	Rosine
mewîj	schwarze Rosine
mewîj	trockene Trauben
mewûj	schwarze Rosine
mexber	Grab-
mexber	Grabmal
mexel	in legender Stellung (nur für Tiere gebräuchlich)
mexîn	assyrisch
mexloqat	Kreatur
mexloqat	Lebewesen
mexluqet	Kreatur
mexluqet	Lebewesen
mexsed	Absicht
mexsed	Ziel
mexsed	Zweck
mey	Oboe
mey	Rohrflöte
mey	Spirituosen
mey	Wein
meyandin	spülen
meyav	still Wasser
meydan	Platz
meyger	Schnaps
meyit	Körper
meyit	Leib
meyit	Leichnam
meymûn	Affe
meyser bûn	Anblick
meyser bûn	Blick
meyt	Leichnam
meyxur	Getrokener/in
meyza	Anblick
meyza	Blick
meyzandin	gucken
meyzandin	schauen
mezebhok	Glaubensrichtung
mezebhok	Konfession
mezebhok	religiöses Bekenntnis
mezheb	Glaubensrichtung
mezheb	Konfession
mezheb	religiöses Bekenntnis
mezinahî	Größe
mezinahî	höheres Dienstalter
mezinahî	Schwere
mezinahî	Stärke
mezinahî	Umfang
mezinahî	Wichtigkeit
mezinbûn	entwickeln
mezinbûn	wachsen
mezintî	Größe
mezintî	höheres Dienstalter
mezintî	Schwere
mezintî	Stärke
mezintî	Umfang
mezintî	Wichtigkeit
mê	feminin
mê	Weibchen
mê	weiblich
mêbaz	Fraujäger
mêhîn	weiblich
mêj	alt
mêj	früher
mêja hingiv	Biene
mêjî	Gehirn
mêjî	Großhirn
mêjî	Hirn
mêjî	Knopfloch
mêjîn <mêj>	saugen
mêjo	Gehirn
mêjû	Geschichte
mêjû	Historie
mêjû	Vergangenheit
mêjû [nêr]	Gehirn
mêjûnas	Historiker
mêjûnas	Historikerin
mêkut	Hammer
mêkut	Holzhammer
mêkut	Schläger
mêlede	Fackel
mêr	Mann
mêr	mutig
mêr kirin	heiraten
mêr kirin	nehmen, sich einen Mann ~
mêr kirin (Frauen)	heiraten
mêrandin	andeuten
mêrandin	zeigen
mêrane	männlich
mêranî	Kühnheit
mêranî	Männlichkeit
mêranî	Mut
mêranî	Tapferkeit
mêratî	Männlichkeit
mêrebî	Witwer
mêrg	Gras
mêrg	Weide
mêrg	Wiese
mêrik	Mann
mêrkuj	blutdürstend
mêrkuj	blutrünstig
mêrkuj	Mörder
mêrkuj	mörderisch
mêrkut	Hammer
mêrmet	Onkel
mêrxas	beherzt
mêrxas	Held
mêrxas	mutig
mêrxas	tapfer
mêrxas	unerschrocken
mêrxas	verwegen
mêrxasî	Heldentum
mêrxasî	Kühnheit
mêrxasî	Mut
mêrxasî	Tapferkeit
mêrxasî	Unerschrockenheit
mêrxaz	Held/in
mêrxwaz	mannhaft
mêş	Biene
mêş	Fliege
mêşe	Eiche
mêşe	Forst
mêşe	Gehölz
mêşe	Hain
mêşe	Wald
mêşin	Hammel
mêtin	absorbieren
mêtin	aufsaugen
mêtingeh	Kolonie
mêtinger	Kolonialist
mêvan	Besuch
mêvan	Besucher
mêvan	Gast
mêvanperwer	Gastfreund/in
mêvanperwer	gastfreundlich
mêvanperwerî	Gastfreundschaft
mêvanxane	Gasthof
mêvanxane	Hotel
mêwe	Obst
mêxdar	Schaubenzieher
mêze kirin	ansehen
mêze kirin	betrachten
mêze kirin	schauen
mêze kirin	sorgen für
mêzekirin	anschauen
mêzîn	Waage
mi'tad	gewöhnlich
mi'tad	üblich
micadele	Kampf
micik	seriöskeit bei der Arbeit
micilge	wetten
miçiqî	ausgetrocknet
miçiqî	geizig
miçiqî	ohne Wasser
miçiqîn <miçiq>	austrocknen
miçiqîn <miçiq>	kraftlos sein
miçiqîn <miçiq>	kraftlos werden
miçiqîn <miçiq>	trocknen
midas	Kleidung
midas	Schuhe
midûr	Direktor
mih	Hammel
mih	Schaf
mihebet	Liebe
mihebet	Sympathie
mihebet	Zuneigung
miheqeq	Prüfstein
miheqeq	Wahrheit
mihibb	liebend
mihubet	Liebe
mihubet	Sympathie
mihubet	Zuneigung
mij	Nebel
mij	Rauch
mij	Unklarheit
mij	Verworrenheit
mijang	Augenwimper
mijank	Augenwimper
mijar	Thema
Mijdar	November
mijgul	Augenwimper
mijîn	saugen
mijîn <mij>	einsaugen
mijîn <mij>	lutschen
mijîn <mij>	saugen
mijul	unterhaltsam
mijûl bûn	beschäftigt sein
mijûlbûn	beschäftigen, sich ~
mikan	Heimat
mikan	Hoffnung
mikan	Ort
mikan	Platz
miken	Heimat
miken	Hoffnung
miken	Ort
miken	Platz
mikur hatin	bekennen
mikur hatin	eingestehen
mikur hatin	gestehen
mikur hatin	zugeben
mikur kirin	bekennen
mikur kirin	eingestehen
mikur kirin	zugeben
mil	Ärmel
mil	Genick
mil	Nacken
mil	Schulter
mil	Seite
mil [nêr]	Arm
mil dan hev	unterstützen, sich gegenseitig ~
mil dan hev	zusammenstehen
milet	Nation
milet	Volk
milê rastê	rechts
milêv	Wurfschaufel
milêv 	Getreideschwinge
milk	Grundbesitz
milk	Immobilien
milkdar	Grundbesitzer
miltan	Hemd
mimkin	möglich
min	ich
min	mein
min	mich
min	mir
minak	Abbild
mindal	Kind
minet	Dankbarkeit
minet	Verbundenheit
minet	Verpflichtung
minet kişandin	belasten, sich mit Dankesschuld ~ wollen
minet kişandin	fühlen, sich verpflichtet ~
minra	mir
miqabil	gegenüber
miqabil	gegenüberliegend
miqam	Kompositionsweise
miqam	Makam
miqam	musikalische Form
miqame	Lied
miqame	Melodie
miqame	Motiv
miqate	Achtsamkeit
miqate	Aufmerksamkeit
miqate	Beachtung
miqate bûn	Acht geben
miqate bûn	achten
miqate bûn	aufpassen
miqate bûn	vorsichtig sein
miqayît bûn	Acht geben 
miqayît bûn	achten 
miqayît bûn	aufpassen 
miqayît bûn	vorsichtig sein 
miqedes	geheiligt
miqedes	heilig
miqris	ausgetrocknet
miqris	geizig
miqris	ohne Wasser
mirar	Aas [n.]
miraz	Absicht
miraz	Begehren
miraz	heimliche Träumerei
miraz	Verlangen
miraz	Wunsch
miraz	Ziel
miraz	Zweck
mirazê kesekî kirin	realisieren
mirazê kesekî kirin	verwirklichen
mircan	Koralle
mircan	Perle
mirçemirç	Schmatzen
mirçên <mirçê>	schmatzen
mirdalî	Aas [n.]
mirdalî	nicht rituell geschlachtet
mirdalî	Schmutz
mirdalî	Unsauberkeit
mirin	Ableben
mirin	abscheiden
mirin	Sterben
mirin	Tod
mirin <mir>	sterben
mirîn	Tod
mirîşk	Henne
mirîşk	Huhn
mirov	Leute
mirov	Mensch
mirovatî	Menschheit
mirovatî	Verwandtschaft
mirovperwer	barmherzig
mirtal	Schild
mirtal	Schirm
mirtêl	Bett
mirtêl	Matratze
mirtiv	Musikant
mirtiv	Säger
mirtoxe	Haferflockenpudding
mirtoxe	Haferlockenbrei
mirtoxe	Hafermehlbrei
mirtoxe	Hafermehlpudding
mirtoxe	Teig aus Mehl mit Öl verknetet
mirtoxe	türk. helva
mirtoxe	türkischer Honig, meist aus Weizenmehl oder Grieß, Sesamöl oder Sesammehl, Honig oder Zucker, gelegentlich mit Butterzusatz zubereitete Süßspeise
mirûz	düster
mirûz	ernst
mirûz	schwermütig
misas	Ochsenstachel
misas	Stachelstock
misayq	Anhänger eines Scheich
misayq	Geistlichkeit
misayq	Schüler
misdan	massieren
misilet kirin	besprechen
misilet kirin	unterhalten, sich ~
Misir	Ägypten
misîn	Krug
misîn	Schnabelkännchen
misîn	Schnabelkanne
misîn	Wasserkanne
misk	Bisam
misk	Moschus
misk û ember	Moschus und Ambra
misken	Bleibe
misken	Wohnung
misken	Zuhause
miskîn	dumm
miskîn	erbärmlich
miskîn	jämmerlich
miskîn	schlecht
misoger kirin	gewährleisten
misogerî	Garantie
misogerî	Sicherheit
misokerî	Versicherung
misra	Halbvers
mist	Faust
mist	Handfläche
mist	handvoll
mist	hohle Hand
mist dan	die Handinnenfläche geben
mist dan	eine Handvoll geben
mist dan	liebkosen
mist dan	reiben
mist dan	streicheln
mist dan	umarmen
misteheq	verdientermaßen
misteheq	was jd verdient
misteheq	zurecht
misûbet	böse Erfahrung
misûbet	Leid
misûbet	Plage
misûbet	Unglück
mişale	Wolke
mişar	Säge
mişefil	Abgrund
mişext	Ausreißer
mişext	Verbannung
mişk	Maus
mişmiş	Aprikose
mişt	Faust
mişt	Handvoll
mişt	voll
miştêrî	Kunde/-in
mit	Anhöhe
mit	Buckel
mit	Dorn
mit	erhabene Stelle
mit	kleine Erhebung
mit	kleiner Hügel
mit	Mythe
mit	Stachel
mit	Stängel
mital	Kummer
mital	Sorge
mitale	Grübeln
mitale	Nachdenken
mitêl	Bettdecke
mitik	Anhöhe
mitik	Buckel
mitik	kleiner Hügel
mitî	gehorsam
mitî	untertänig
mitrib	Instrumentenspieler
mitrib	Musikant
mitrib	Säger
mitrib	Trommler
mitrib	Zigeuner
mix	Nagel
mixabin	es tut mir leid
mixabin	leider
mixabin	leider!
mixabin	schade
mixabin	unglücklicherweise
mixabin	welch Unglück!
mixabin	wie schade!
mixenet	Verräter
mixenetî	Hinterlist
mixenetî	Meineid
mixenetî	Verrat
mixlûqet	Nation
mixlûqet	Volk
mixtar	Bürgermeister
mixulqet	Nation
mixulqet 	Volk
mizdan	massieren
mizgeft	Mosche
mizgeft	Moschee
mizgîn	Botschaft (frohe)
mizgîn	Freudenbotschaft
mizgîn	frohe Botschaft
mizgîn	Gratifikation
mizgîn	gute Nachricht
mizgîn	Nachricht (frohe)
mî	Hammel
mî	Schaf
mîde	Magen
mîh	Schaf
mîkrobkuştin	Desinfektion
mîlyoner	Millionär
mîmar	Architekt/in
mîna	ähnlich
mîna	gleich
mîna	wie
mînak	Beispiel
mînak	Muster
mînare	Minarett	(–s)
mînet	Dankbarkeit
mînet	Verbundenheit
mînîbûs	Kleinbus
mîr	Prinz
mîr/mîrza	Herr
mîrat	heimatlos
mîrat	obdachlos
mîrat	vernachlässigt
mîrat	verwaist
mîratxur	Erbe
mîratxur	Erbsohn
mîratxur	Thronfolger
mîrek	Emir
mîrek	Prinz
mîrî	Staat
mîrkut	Holzhammer
mîrov	man
mîrow	Verwandte/r
mîrza	Herr
mîrza	mein Herr
mîrza	Prinz
mîs	Kupfer
mîs	Moschus
mîx	Nagel
mîx kirin	nageln
mîyaser bûn	ausführen
mîyaser bûn	Eindruck haben
mîyaser bûn	realisieren
mîyaser bûn	vollenden
mîz	Harn
mîz	Urin
mobîlya	Möbel
model	Abbild
modern	modern
mofika dest	Handgelenk
mohr	Markenzeichen
mohr	Siegel
mohr	Stempel
mohr kirin	verschließen
mohr kirin	versiegeln
mohtacî yekî bûn	jdn brauchen
mohtacî yekî bûn	jdn nötig haben
mole	Pflaster
molet	Aufschub
molet	Frist
momtacî yekî bûn	jdn brauchen
momtacî yekî bûn	jdn nötig haben
mor	brauen
mor	Markenzeichen
mor	Stempel
mor	veilchenblau
mor 	Siegel
mor kirin	verschließen
mor kirin	versiegeln
morî	Ameise
morî	Glaskügelchen
morî	Glasperle
morî	Perle
morîstan	Haus der Ameisen
mosaîk	Mosaik
moşek	Rakete
motacî yekî bûn	jdn brauchen
motacî yekî bûn	jdn nötig haben
motor	Motor
movik	Gelenk
movik	Knoten an Halmen, Bambus etc
movikkirî	aus Bambushalmen gemacht
moz	Banane
moz	Biene
moz	Bremse
moz	Hornisse
moz	Wespe
mu'tad	gewöhnlich
mu'tad	üblich
mucewher	Edelsteine
mucewher	Juwelen
muhawele	Abkommen
muhawele	Kontrakt
muhawele	Vertrag
muhebet	Unterhaltung
muhibb	liebend
muhîm	wichtig
mujikî	schmutzig
mukawele	Abkommen
mukawele	Kontrakt
mukawele	Vertrag
mukir hatin	bekennen
mukir hatin	eingestehen
mukir hatin	gestehen
mukir hatin	zugeben
mukir kirin	bekennen 
mukir kirin	eingestehen
mukir kirin	zugeben
mulk	Grundbesitz
mulk	Immobilien
mum	Kerze
munasib	angemessen
muqaddes	heilig
muqeddes	heilig
mur	Myrrhe
mur	Welt...
musibet	böse Erfahrung
musibet	Leid
musibet	Plage
musibet	Unglück
musilman	Moslem
musteheq	verdientermaßen
musteheq	was jd verdient
musteheq	zurecht
muşmiş	Aprikose
mutleq	absolut
muxtar	Dorfbürgermeister
muxtar	Dorfvorsteher
muzîkjen	Musiker
muzîknas	Musikwissenschaftler
muzîknas	Musikwissenschaftlerin
mû	Haar
mûçe	Lohn
mûçing	Pinzette
mûdî	Widerwille haben
mûle	Schlamm
mûm	Zündkerze
mûr	bärbeißig
mûr	mürrisch
mûr	unfreundlich
mûrî	Ameise
mûz	Banane
mûze	Museum
mûzîk	Musik
mûzîkvan	Musiker
mûzîkvan	Musikerin
mûzîqî	Musik
na	nein
na	nicht
nack	Mittelpunkt
nack	Nabel
nack	Nabelschau
nakok	widersprüchlich
nakokî	Widerspruch
nal	Hufeisen
nalandin <nalîn>	beschweren, sich ~
nalandin <nalîn>	seufzen
nalandin <nalîn>	stöhnen 
nalbend	Hufschmied
nale	Verdammung
nale	Verfluchung 
nale	Verwünschung 
nalet	Fluch
nalet	verdammt!
nalet	Verdammung
nalet	verflixt!
nalet	verflucht!
nalet	Verfluchung 
nalet	Verwünschung 
nalîn	stöhnen
nalîn <nal>	beklagen
nalîn <nal>	jammern
nalîn <nal>	klagen
nalîn <nal>	seufzen
nalîn <nal>	stöhnen
nalîn <nal>	wehklagen
name	Brief
namebir	Briefträger/in
namerdî	Feigheit
namerdî	Gemeinheit
namerdî	Niedertracht
namerdî	Verächtlichkeit
namil	oberer Teil des Rückens
namil	Schulter
nan	Brot
nan	Essen
nan dan	Essen geben
nan û xwê helal kirin	geloben, sich ~
nan û xwê helal kirin	seine Worte bekräftigen
nan û xwê helal kirin	seinen Worten öffentliche Geltung verleihen
nana	nein
nanakirin	Verleugnung
nanakirin	Verneinung
nandan	Essen geben
nandar û avdar	gastfreundlich
nanfiroş	Bäcker/in
nangir	fruchtbare Erdboden
nanpêj	Bäcker
nanpêj	Bäcker/in
nanpêj	Koch
nanxane	Bäckerei
naqos	Glocke
nar	Feuer
nar	Flamme
nar	Granatapfel
nar	Herzchen
nar	Licht
narinc	Orange
narincî	dünn
narincî	fein
narincî	orangefarben
narîn	liebenswürdig
narîn	schlank
narîn	zart
nas	bekannt
nas	Bekannte
nas kirin	kennen
nasandin	gewöhnen
nasîbê yekî kirin	gewähren
nasîbê yekî kirin	jdm zukommen lassen
nasîn	auskennen
nasîn	erkennen
nasîn	kennen
nasîn	wissen
naskirin	kennen lernen
nasname	Ausweis
nasyar	Bekannte
nasyar	Freund
nasyarî	Freundschaft
nator	Weinberg
nav	inner
nav	Name
nav	Taille
nav	Vorname
navçe	Abschnitt
navçe	Gebiet
navçe	Mitte
navçe	Zentrum
navçûn	Durchfall
navdar	bekannt
navdar	berühmt
navdar	geehrt
navdêr	Nomen ( Grammatik )
navend	Mitte
navend	Zentrum
navendî	zentral
naverast	Mitte
naverok	inhalt
navê...bûn	heißen
navêş	Durchfall
navêş	Magenschmerz
navgîn	instrument
navhevxistin	mischen
navik	Bauch
navik	Bauchnabel
navik	Nabel
navîn	Mitte
navîn	Zentrum
navkêl	Seite
navkêl	Taille
navkokî	Mittelpunkt
navkokî	Nabel
navkokî	Nabelschau
navlêk	Ausdruck
navmalê pak	ordentlicher Haushalt
navneteweyî	international
navnetewî	international
navnîşan	Adresse
navnîşan	Anschrift
navnotî	üble Nachrede
navnotî	Verleumdung
navran	Beingabelung
navran	Geschlechtsorgan
navran	Zwickel
navre	Beingabelung
navre	Geschlechtsorgan
navre	Zwickel
navro	Mittag-
navroj	Mittagessen
navtêdan	herausfordern
navxweyî	inner
naxêr	es geht nicht!
naxêr	nein
naxir	Gruppe von Großvieh
naxir	Herde
naxwe	in der Tat
naxwe	ohnehin
naxwe	sowieso
naxwe	zweifellos
nayê aqilan	unvorstellbar
nayil	erlangt
nayil	in Empfang genommen
Nayla	von nayil
naylon	Nylon
naylon	Plastik
nazdar	anmutig
nazdar	graziös
nazdar	kokett
nazdar	lieblich
nazdar	munter
nazdar	verwöhnt
nazenîn	angenehm
nazenîn	lieblich
nazenîn	sanft
nazik	fein
nazik	hübsch
nazik	liebenswürdig
nazik	sensibel
nazik	zart
nazikî-ziravik	fein
nazikî-ziravik	grazil
nazikî-ziravik	schlank
nazikî-ziravik	zart
nazî	Koketterie
nazî	Ziererei
ne	nicht
ne ... nejî	weder ... noch
ne-	Vorsilbe der Verneinung
neasayî	anomal
nebaş	schlecht
nebaş	schlimm
nebat	Kraut
nebat	Pflanze
nebî	Prophet
necar	Tischler
necax	Axt
necax	Beil
necax	Hellebarde
necax	Streitaxt
neçar	arm
neçar	hilflos
neçar	wehrlos
neçê	böse
neçê	boshaft
neçê	schlecht
neçê	schlimm
neçê	übel
nediyar	unbestimmt
nedîtbar	abstrakt
nedîtî	noch nie dagewesen
nedîtî	unvergleichlich
nefel	Klee
nefer	Individuum
nefer	Person
nefes	Atem
nefes girtin	atmen
nefes girtin	aufatmen
nefes li kesekî çikiyan	atemlos werden
nefî	Verbannung
nefî kirin	ins Exil schicken
nefî kirin	verbannen
nefî kirin	vertreiben
nefîbûn	verbannt werden
nefret	Abneigung
nefret	Abscheu
nefret	Widerwillen
nefs	Begierde
nefs	Charakter
nefs	Geist
nefs	Leben
nefs	Seele
nefs	Selbst
nefs	Trieb
nefs	Wesen
nefsbiçûk	bescheiden
nefsbiçûk	demütig
nefsbiçûk	einfach
nefsbiçûk	niedrig
nefsîn	geistig
nefsîn	seelisch
nefspiçûk	bescheiden 
nefspiçûk	demütig 
nefspiçûk	niedrig 
nefspiçûkî	Bescheidenheit
nefspiçûkî	Demut
nefspiçûkî	Sittsamkeit
neft	Petroleum
neh	neun
neha	neunter
neheq	ungerecht
neheq	unrecht
neheqî	Ungerechtigkeit
neheqî	Unrecht
nehên	Geheimnis
nehên	illegal
nehênî	Geheimnis
nehwirandin <nehwirîn>	summen
nehwirandin <nehwirîn>	trällern
nehwirandin <nehwirîn>	vor sich hinsingen
nekelî	ungekocht
nekes	niemand
nekesek	keiner
nel	Hufeisen
nem	Feuchtigkeit
nema	nicht mehr
nema	nie
nema	niemals
nemam	nicht leiblich
nemam	nicht vertraut
nemam	nicht verwandt
neman	alle
nemaze	besonders
nemaze	hauptsächlich
nemerd	feige
nemerd	niederträchtig
nemerd	niedrig
nemerd	verächtlich
nemêr	machtloser Mann
nemimkûn	unmöglich
nemir	dauernd
nemir	ewig
nemir	unendlich
Nemrûd	Nimrod
nemrût	häßlich
nemrût	schlecht
nenas	unbekannt
nepenî	geheim
nepixandin	übertreiben
nepox	Luftballon
neqandin	pflücken
neqişandin <neqişîn>	auszeichnen
neqişandin <neqişîn>	dekorieren
neqişandin <neqişîn>	schmücken
neqişandin <neqişîn>	zeichnen
nerden	Kurs
nerihet	unbequem
nerindî	Bosheit
nerindî	Nicht-Gutheit
nerm	besonnen
nerm	weich
nermî	Milde
nermî	Sanftheit
nermî	Zartheit
nermî û xweşî	angenehme Seiten
nermî û xweşî	Weichheit und Wohlbefinden
nerx	Gebühr
nerx	Preis
nesax	krank	adj:
nesaxî	Krankheit
nesl	Herkunft
nesl	Nachkommenschaft
nesl	Ursprung
neşuştî	geflucht sein
netebitî	unnachsichtig
netebitî	unruhig
netew	Nation
netewe	Nation
netewe	Volk
neteweperwer	Chauvinist
neteweperwer	Nationalist
neteweyî	national
netêw	ungültig
netirse!	keine Angst!
netû	unqualitätig
nevala	besetzt
nevisî	Stiefkind
nevî	Enkel/in
nevî	Enkelkind
nevîçirk	Enkel/in des/der Enkel/in
nevîçirtik	Urenkel
Nevroz	kurdisches Neujahr
newa	Melodie
newal	Tal
newekhewî	Unterschied
newênger	Abgeordnete
newêrek	Ängstlich
newêrek	Feigling
newêrek	schüchtern
Newroz	kurdisches Neujahr
nex	Faden
nexêr	nichts Gutes bedeutend
nexêr	ungünstig
nexş	Karte
nexş	Plan
nexş	Stickerei
nexş	Wandmalerei
nexşe	Karte
nexşe	Landkarte
nexşe	Pfau
nexşe	Plan
nexşe	Verzierung
nexşe	Wandmalerei
nexşîn	farbig
nexter	Schaubenzieher
nexu	übrigens
nexurt	schwach
nexwastî	Abneigung
nexwastî	ungewollt
nexwaşxane	Krankenhaus
nexwe	übrigens
nexwe	ween es so ist
nexweş	krank	adj:
nexweş	Patient
nexweş	unrichtig
nexweş ketin	krank werden
nexweşbûn	krank sein
nexweşî	Krankheit
neyar	Feind
neyar	Feind/in
neyar	Gegner/n
neyar	Rivale/in
neyarî	Feindschaft
neyek	niemand
neyînî	negative
neyînî	verneinend
neynik	Spiegel
neynuk	Fingernagel
neynuk	Klaue
neynûk	Fingernagel
neynûk	Nagel
neynûkbir	Nagelschere
neysizî	Dämon
neysizî	Geist
neysizî	Phantasiegestalt
nezan	unwissend
nezanî	Unwissenheit
nezer	Anblick
nezinahî	Größe
nezir	Spende
nezirkirin	widmen
nêçîr	Fang
nêçîr	Jagd
nêçîr	Jagdbeute
nêçîr	Opfer
nêçîrvan	Jäger
nêçîrvan	Jägerin
nênerbaran	abstrakt
nêr	Mann
nêr	männlich
nêr	maskulin
nêrdewan	Leiter
nêrdewan	Treppe
nêremok	biseksüel
nêrgiz	Narzisse
nêrgiz	Osterglocke
nêrî	Bock
nêrî	Ziegenbock
nêrîn	Beachtung
nêrîn	gucken
nêrîn	Idee
nêrîn	maskulin
nêrîn	Meinung
nêrîn	Sicht
nêrîn	sorgen für
nêrîn <nêr>	anschauen
nêrîn <nêr>	schauen
nêşan	Kennzeichen
