###########################
# Lîsteya îngilîzî-kurdî  #
# www.ferheng.org         #
# 5200 peyv               #
# Nûkirin: 2005-07-29     #
# Erdal Ronahî            #
# ferheng@ferheng.org     #
# license: GPL            #
###########################
-yek	an
pehîn	kick
pehîz	fall
peî	fall
pel	sheet
pelandin	feeling
pelandin	touch
penageh	cover
pend	advice
pendî	apparent
pendî	clear
pendî	obvious
penhanî	clandestine 
penhanî	secret
penhanî	secretly
penîr	cheese
perav	beach
perav	seaside
perav	strand
perçe	section
perçe	share
pere	money
peresîn	blossom
peresîn	development
peresîn	inflorescence
pergal	order
pergal	system
perol	password
perû	remuneration
perû	reward
perû	tip
perûk	antique
perûk	masterpiece
perûkxane	museum
perwerdehî	education
perwerdekar	governess
pesartin (xwe bi yekî bipesêre)	count on
pesartin (xwe bi yekî bipesêre)	depend on
pesartin (xwe bi yekî bipesêre)	rely
pesendkirin	approve
pesindan	commend
pesindan	laud
pesindan	praise
pest 	pressure
petîx	melon
petîx	muskmelon
pevçûn	brawl
pevçûn	fight
pey	back
peya	pedestrian
peyam	message
peyivîn	talk
peyîz	fall
peyker	sculpture
peyman	agreement
peyman	deal
peyre	afterward
peyre	then
peyv	vocable
peyv	word
peyv	words
peyvbend	synonymous 
peywir	assignment
peywir	commission
peywir	duty
peywir	mission
peywir	task
pê	feet
pê	foot
pê	leg
pêçan	enclose
pêdivî	demand
pêdivî	necessary
pêdivî	necessity
pêdivî	need
pêdivî	requisite
pêewlebûn	believe
pêgeh	area
pêgeh	extent
pêgeh	footprint
pêgeh	vestige
pêgiran	awkward
pêhesîn	feel
pêjn	voice
pêkan	possible
pêl	wave
pêlav	shoe
pêlêkirin	print
pêngav	advance
pêngav	leap
pêngav	measure
pêrew	follower
pêş	ahead
pêş	front
pêş ve	next
pêşangeh	exhibition
pêşangeh	exposition
pêşber	attendant
pêşber	spectators
pêşbînî	assumption
pêşbînnasî	astrology
pêşe	poem
pêşe	verse
pêşe	verse 
pêşeroj	future
pêşîn	antecedent
pêşîn	before
pêşketin	development
pêşketin	evolution
pêşkêş kirin	offer
pêşkî	priority
pêşkî	priority 
pêşrêzkirin	browse
pêt	fire
pêt	flame
pêvajo	operation
pêvajo	phase
pêvajo	process
pêvçûn	conflict
pêwend	concerned
pêwendî	concern
pêwist	required
pêwistî	need
pêwîst	necessary
pêwîst	needful
pêwîstî	necessity
pêwîstî	need
pêwîstî	want
pêzewarî	materialism 
pidû	palate
pil	degree
pile	degree
pile 	degree 
piling	tiger
pindar	delusion
pindar	illusion
pindar	phantom
pindar	specter
pingirî	annoyance
pingirî	get angry
pir	bridge
pir	frequently
pir	many
pir	much
pir	very
piranî	majority
piranî	most
pirç	hair
pirr	lot
pirs	query
pirs	question
pirs	request
pirs kir	asked
pirs kirin	ask
pirsgirêk	business
pirsgirêk	issue
pirsgirêk	problem
pirsgirêk	problems
pirsgirêk	trouble
pirsiyarkirin	query
pirsîn	demand
pirsîn	query
pirsjêkirin	query
pirtûk	book
pisîk	cat
pispor	adept
pispor	authority
pispor	expert
pispor	specialist
pisportî	expertise
pişrast	confirm
pişrast	guarantee
pişt	back
piştgirî	solidarity
piştî	after
piştkul	dodgy
piştkul	elusive
piştkul	evasive
piştkul	sly
piştkulî	dodgyness
piştkulî	elusiveness
piştkulî	evasiveness
piştkulî	slyness
piştre	later
pitpit	pulse
pitpit	throb
piyale	glass
piyan	salver
piyan	tray
pî	arm
pîn	kick
pîne	patch
pîr	old
pîroz	holy
pîroz	sacred
pîst	collar
pîvan	criterion
pîvîn	gage
pîvîn	gauge
pîvîn	measure
pîvîn	quantify
plan	plan
plan	plans
pol	steel
polat	steel
polîs	police
ponjîn	notion
ponjîn	think
por	hair
poz	nose
poz	tip
pozberî	competition
pozbilind	conceited
proje	project
proje	projects
pûç	bad
pûç	corrupt
pûç	putrid
pûjan	peppermint
pûkêş	armoured
pûnijîn	thinking
pûs	ambush
pûte	cared of
pûte	interested
pûtî	heathen 
pûtî	idolater
pûtî	pagan
qad	locus
qad	place
qad	site
qafik	tile
qalin	thick
qalind	thick
qam	length
qam (wek wî)	peer
qapan	conceited
qapan	trap
qaqê	egg
qaqê	ovum
qasid	delegate
qe	any
qe	never
qebêl (Efrîn)	healthy grown (cereal)
qeda	accident
qeda	disaster
qeda	harm
qeda	misadventure
qedandin	end
qedandin	finish
qedemgeh	toilet
qedexe	ban
qedexe	forbidden
qedexe	prohibition
qedexekirin	ban
qedexekirin	forbid
qehirandin	irritate
qelandin	assimilation
qelew	fat
qelp	fake
qelp	forge
qelûn	pipe
qenc	fine
qenc	well
qeram	cover
qeram	lid
qerase	lever
qerf	Jock
qerf	joke
qerf	prank
qerf	waggery
qerzdar	indebted
qeş	ill-omen
qetandin	disrupt
qetandin	rupture
qetandin	tear
qetl	murder
qevz	jump
qevz	leap
qevz	skip
qevz	spring
qewl	imply
qeyd	record
qeyran	crisis
qez	silk
qezaz	tailor
qezenc	win
qidûm	form
qidûm	shape
qijil (ji por re)	scorch (for hair)
qijil (ji por re)	singe
qilêr	black
qilêr	dingy
qilêr	dirt
qilêr	dirty
qilêr	filth
qilêr	foul
qilêr	grime
qilêr	impure
qilêr	smutty
qilêr	sordid
qilêr	squalid
qiloç	horn
qinare	slaughterhouse
qinût	illiberal
qinût	mean
qinût	tightfisted
qinût	ungenerous
qinyat	belief
qirêj	dirt
qirêj	filth
qirêj	grime
qirên	contention
qirên	dispute
qirên	quarrel
qirên	wrangle
qîq	skeleton
qîret (Efrîn)	vigor
qoçan (Efrîn)	registration bill for animals
qor	consecution
qor	file
qor	line
qor	rank
qor	row
qor	succession
qorik	haunch
qufilîn	convulsion
qufilîn	spasm
qul	hole
qul	vent
qulbik	anchor
qulipandin	turn
qulkirin	drill
qulkirin	perforate
qulqulî	hole
qurban	sacrifice
qurban	victim
qurf	panic
qutifî	appaled
qutifî	astounded
qutifî	shocked
qutifî	stunned
qûm	gravel
qûm	sand
rabûn	arise
rabûn	rise
rabûn	uprise
raçavkirin	sentinel
raçavkirin	target
raçavkirin	watch
radan	insert
rade	degree
rade	grade
rade	rank
radestkirin	deliver
radestkirin	hand in
radeyî	comparative
radeyî	relative
ragihand	announced
ragihandin	advertise
ragihandin	announce
ragihandin	communicate
ragihandin	inform
ragihiştin	come
ragirtin	abide
ragirtin	bear
ragirtin	endure
ragirtin	perception
ragirtin	recognition
ragirtin	sustain
rahatî	common
rahatî	communal
rahêjandin	suddenly overthrown
rahiştin	scrimmage
rahiştin	tussle 
raje	service
rakirin	annul
raman	idea
raman	ideas
raman	mind
raman	opinion
raman	thinking
raman	thought
raman	thoughts
ramedîn	lie
ramîn	thinking
ramûsan	kiss
ramûsîn	buss
ramûsîn	kiss
ramyarî	policy
ramyarî	political
raperîn	rebellion
rapêçan	enclose
rapor	report
rast	accurate
rast	exact
rast	proper
rast	real
rast	right
rast	true
rast hat	met
rast hatin	meet
rastbîn	realistic
rasteqîn	reality
rasteqîn	truth
rasteqîn	verity
rasteqîne	credibility
rasterê	directly
rastî	reality
rastî	truth
rastî	verity
rastîn	actual
ravkar	sniper
rawestan	pause
rawestan	stop
rawestandin	arrest
rawestandin	cease
rawestandin	detain
rawestek	station
rawêj	assumption
rawêj	default
ray	idea
ray	mind
ray	opinion
raye	authority
raye	warrant
rayek	origin
rayek	sex
raz	secret
razan	sleep
razber	abstract
reben	indigent
reben	needy
reben	poor
redbar	refute
ref	consecution
ref	succession
reform	reform
regez	descent
regez	genealogy
regez	lineage
reh	nerve
reh	root
reha	absolute
reha	complete
reha	utter
remilnasî	astrology
renc	anguish
renc	pain
reng	color
rengdêr	adjective
renk	type
rep	perpendicular
rep	upright
req	bitter
req	firm
req	hard
req	rigorous
req	stern
req	stiff
reqem	number
reqisîn	dance
reqs	dance
resen	noble
resen	origin
resen	original
resen	sex
reş	black
reşek	draft
reşk	envious
reşkirin	cancel
reşkirin	eliminate
reşkirin	erase
reşnivîs	original
revîn	abscond
revîn	escape
revîzyon	revision
revok	runaway
rewanbêj 	eloquent
rewanbêj 	fluent
rewîşt	character
rewîşt	nature
rewneq	grace
rewneqdar	magnificent
rewneqdar	splendid
rewrewk	mirage
rewş	situation
rewt	current (air)
rex	beside
rex	course
rex	direction
rex	side
rexne	critique
rê	method
rê	path
rê	road
rê	system
rê	technique
rê	way
rê	ways
rêbaz	manner
rêbaz	method
rêbaz	policy
rêbaz	principle
rêber	guide
rêç	sign
rêç	trace
rêç	vestige
rêgez	principle
rêje	proportion
rêje	rate
rêje	ratio
rêje	relation
rêjeyî	comparative
rêjeyî	relative
rêkûpêk	orderly
rêkûpêk	steady
rêkûpêk	tidy
rêpîvan	law
rêpîvan	rule
rêrew	system
rêvebir	manager
rêvin	dirty
rêvin	grimy
rêvin	unclean
rêwî	passenger
rêwîngî	journey
rêwîngî	voyage
rêxistin	organisations
rêxistin	organization
rêxistinî	organizational
rêz	file
rêz	line
rêz	order
rêz	rank
rêz	respect
rêz	reverence
rêz	row
rêz	series
rêze	series
rêzeçiya	mountain range
rêzik	method
rêzik	norm
rêzik	rule
rêzik	strain
rêziman	grammar
rêzimanî	grammatical
rêzkirin	arrange
ricifîn	quake
ricifîn	quiver
ricifîn	vibrate
rih	beard
rih	nerve
rihakirin	recover
rihakirin	rescue
rihakirin	save
rijandin	diffuse
rijandin	effuse
rijid	envious
rijî	coal
rik	malice
rik	spite
rind	fine
rind	handsome
rindî	beauty
rindî	pulchritude
rist	apparatus
rist	part
rist	tool
rivîn	flame
riwal	maturity of male
rizgarî	salvation
rizgarkirin	recover
rizgarkirin	rescue
rizgarkirin	save
rîsk	risk
roj	day
roj	days
roja din	the day after
roja din	the next day
rojane	daily
rojane	workaday
rojava	west
rojava	western
rojev	agenda
rojgar	planet
rojgeran	planet
rojhilat	east
rojname	gazette
rojname	newspaper
rojname	paper
rojnamevan	journalist
rojnivîsk	journal
roket	missile
rol	role
roman	roman
ron	limpid
ron	liquid
ron	lucent
ron	transparent
ronahî	daylight
ronahî	light
ronak	light
rondik	tear
ronî	light
rovî	bowel
rovî	fox
rû	face
rûbar	area
rûbarî	confrontation
rûdan	event
rûdan	happening
rûdan	incident
rûdan	occurrence
rûken	simpatico
rûn	fat
rûnivîs	copy
rûpel	page
rûspî	sage
rûtenik	transparent
rûviya zêde	appendix
s	s
sabît	fixed
sade	basic
sako	coat
sako	jacket
sako	overcoat
sal	year
saman	patience 
sar	chilly
sar	cold
satil	bucket
satil	pail
savar	grits
savar 	grits
saw	fear
sawîr	delusion
sawîr	illusion
sax	alive
sax	live
sax	living
saz	structure
sazdêran	concert
sazî	association
sazî	structure
sazîn	adaptation
sazîn	coordination
sazkirin	build
sazkirin	establish
sazkirin	found
sazkirin	institute
sazkirin	organize
sazkirin	plant
sazûman	association
sazûman	foundation
se	dog
sebir	patience 
sede	century
sedem	account
sedem	cause
sedem	reason
sedsal	century
sefîr	ambassador
seh	sense
sehend	obstinate
sehend	stubborn
sehkirin	detect
sehkirin	discern
sehkirin	perceive
sehkirin	sense
sekinandin	arrest
sekinandin	detain
sekinîn	stand
sekinîn	stop
sekû	bench
selexane	slaughterhouse
selexane	vagabond
selik	basket
selmandin	establish
selmandin	state
semer	howdah 
semt	precaution
semyan	leader
sengandin	weigh
senger	citadel
senger	shelter
senger	shield
sepandin	apply
sepîtk	ceiling
seqa	atmosphere
ser	head
ser	on
ser	over
ser	top
sera	greenhouse
seratayî	first
serbajar	capital
serbarî	concession 
serbaz	conscripted
serbaz	officer
serbaz	private
serbaz	recruiter
serbaz	serviceman
serbaz	soldier
serbilind	proud
serborî	adventure
serborî	recommence
serborî	resume
sercem	all
sercem	entire
sercem	total
sercem	whole
serdab	subway
serdan	visit
serdan	visitation
serdem	century
serdem	time
serdestî	vantage
serederî	lost
serederî	stray
serek	leader
sereke	primary
sererast	orderly
sererast	steady
sererast	tidy
sererastkirin	adjust
sererastkirin	ameliorate
sererastkirin	amend
sererastkirin	arrange
sererastkirin	emend
sererastkirin	improve
sererastkirin	meliorate
sererastkirin	mend
sererastkirin	rectify
serfirazî	triumph
serfirazî	victory
serfrazî	win
sergêr	guide
sergêr	leader
sergêr	pilot
sergîn	manure
serhişk	obstinate
serhişk	stubborn
serinc	attention
serî	apex
serî	cusp
serjimar	population
serjimar	statistic
serjimêr	statistics
serkar	manager
serkeftin	triumph
serkeftin	victory
serkeftî	eminent
serkeftî	excellent
serkeftî	preeminent
serkeftî	superlative
serketin	win
sermaye	capital (econ.)
sermed	everlasting
sermed	perpetual
sermedî	eternity
sernûçe	caption
serok	leaders
serokatî	leadership
serokatî	presidency
serpeyî	improvise
serpêçî	rebellion
sersar	negligent
serxwebûn	independence
sewal	animal
sewal	beast
sewal	brute
sext	bad
sext	bitter
sext	dry
sext	firm
sext	hard
sext	harsh
sext	rigorous
sext	stern
sext	stiff
seyd	chase
seyd	hunt
seyr	bizarre
seyr	strange
seyran	picnic
seza	penalty
seza	punishment
seza laşî	corporal punishment
sê	three
sênber	concrete 
sênî	salver
sênî	tray
sêrek (Efrîn)	rare
sêrek (Efrîn)	scarce
sêwak	vagabond
sêwiran	design
sêwiran	plan
sêwî	orphan
sêyemîn	third
sibe	morning
sibe	tomorrow
sifir	copper
sih	shade
sil 	excitement
silav	salutation
silavkirin	greet
silikandî	abandoned 
silim	staircase
silim	stairway
sinc	character
sinc	moral
sinc	morale
sincî	ethics
sincî	morals
sipariş	order
siq	intensive
sir	breeze
sirgûn	exile
sirt (Efrîn)	top of the hill
siruşt	nature
sirûş	inspiration
sirûş	revelation
sirwe	breeze
sitrandî	paste
sivik	light
sivik	lightweight
siwe	vertical angle
sî	shade
sîma	appearance
sîma	mien
sînahî	ray of light
sînor	border
sînor	boundary
sînor	frontier
sînor	limit
sîr	garlic
sîsark	vulture
sîvan	umbrella
sîxor	espionage
sîxor	spy 
sîxur	spy
soberîkirin	float
sol	shoe
soma 	eyeball 
sor	red
sor	ruddy
sorax	check
sorax	search
soraxvan	inspector
soraxvan	investigator
sordemar	artery (med.)
sotin	kindle
soxin	deadline
soxin	end
soz	assurance
soz	promise
sparte	duty
sparte	obligation
spêde	daybreak
spêle	phantom
spêle	specter
spêle	spirit
spî	white
stand	got
standin	get
standin	grab
standin	have
standin	obtain
standin	receive
standin	take
star	shelter
stargeh	cover
starkirin	appease
stemkar	cruel
stemkar	unkind
stêrk	star
stêrnasî	astrology
stirî	horn
stirî	spine
stî	lady
stîl	style
strandin	guard
stratêjîk	strategy
stû	neck
stûn	thick
stûr	fat
stûr	rude
stûv	witness
stûvdan	witness
suruştî	natural
sûd	benefit
sûd	profit
sûd	utility
sûlav	waterfall
sûsret	bizarre
sûsret	strange
sûtal	silly
sûtal	trivial
sûtar	ill-mannered
sûtar	impudent
şad	enjoyment
şadî	fun
şan	feature
şan	trait
şandin	send
şandin	sent
şane	cell
şanek	notice
şano	stage
şareza	skillful
şaş	wrong
şaşî	error
şaşî	fault
şax	division
şayist	lawful
şayist	legitimate
şayist	permitted
şe	comb
şekl	form
şeng	alive
şeng	cheerful
şeng	gay
şepal	desert (land)
şepal	desert (terrain)
şeqam	cuss
şer	fight
şer	war
şeref	honor 
şert	conditions
şervan	fighter
şev	night
şevpest	nightmare
şewitandin	burn
şewitîn	burn
şexsî	personal
şeytan	devil
şêwaz	style
şikand	broke
şikeft	cave
şil	damp
şirket	company
şixul	performance
şiyan	ability
şiyan	power
şîrove	commentary
şîv	dinner
şkandin	crack
şkandin	crash
şkestî	broken
şop	track
şû	husband
şûn	location
şûnda	since
şûr	blade
ta	until
tac	crown
tagîr	supporter
tahde	torture
takemaf	concession 
talî	deadline
talî	end
talî	ending
talî	expiration
talî	finish
talî	tail
tam	flavor
tam	savor
tam	taste
tam (Efrîn)	naïve
tap	lazy
tapan	able to carry heavy loads
tapan	very strong
taqîgeh	laboratory
tarî	black
tarî	dark
tarî	tenebrous
tarîgan	rye
tavehîv	moonlight
tavilê	forthwith
tavilê	immediate
tavilê	instant
tavilê	instantaneous
tavilê	instanter
tavilê	pronto
tavilî	immediately
tawan	accusation
tawan	crime
tawanbarkirin	charge
tawanbarkirin	incriminate
tawanbarkirin(v) 	accuse
tawankar	guilty
tay (Efrîn)	balance
tay (Efrîn)	equivalent
tay (Efrîn)	match
taybet	particular
taybet	private
taybet	special
taybetî	particular
taybetmendî	character
taykirin (Efrîn)	compare
tebat	patience
tebatî	stability
tecrube	experience
tedawî	treatment
tej	carpet
tej	rug
tek	single
tekane	alone
tekilî	relationships
teknolojî	technology
tektîk	tactic 
telezgeh	dilemma
telezgeh	impasse
temel	merchandise
temel	wealth
temen	age
temen	life
temen	lifetime
temirandin	extinguish
temirandin	quench
temîz	clear
tendurust	sound
tendurustî	health
tenê	alone
tenê	merely
teng	narrow
teng	tight
tengezarî	annoyance
tengezarî	get angry
tenik	fine
tenik	lank
tenik	slight
tenik	tenuous
tenik	transparent
tenişt	beside
tep	deceit
tep	fraud
tep	hoax
tep	imposture
tep	pulse
tep	throb
teqez	definite
teqez	determinate
teqez	determined
teqez	peremptory
teqez	sure
teqilandin	weigh
teqîn	blast
teqîn	burst
teqîn	detonate
teqîn	explode
teqîn	explosion
terane	play
terî	tail
terz	manner
terz	strain
terz	style
terz	way
tesîr	effects
tesîr	influence
teşe	figure
teşe	form
teşe	shape
tev	all
tev	complete
tev	total
tevger	movement
tevger kirin	move
tevgerîn	act
tevgerîn	behave
tevgerîn	conduct
tevkarî kirin	contribute
tevlêbûn	join
tew	naught
tew	never
tew	nil
tew	none
tew	nothing
tewir	manner
tewir	procedure
teyar	equip
teyar	ready
teyfik	plate
teyisandin	burnish
teyisandin	furbish
teyisandin	polish
teyisîn	beam
teze	fresh
teze	new
teze	recent
têbinî	memorandum
têbinî	note
têgih	conception
têgih	term
têgihiştin	apprehend
têgihiştin	understand
têgihiştin	understanding
têgîn	conception
têgîn	notion
têgîn	term
têgîn	think
têketin	sign in
têkildar	related
têkoşîn	fight
têkurk	ambitious
têkurk	aspirant
têved	impulse
têved	incentive
têved	motive
têvel	several
têwerdan	agitate
têxistin	lay
têxistin	place
têxistin	put
têxistin	stick
tif	spit
tifing	gun
tijî	fraught
tijî	full
tijî	plenty
tijî	replete
tijîkirin	fill
tika	petition
tika	plea
tika	request
tilî	fingers
tim	always
tirakî (Efrîn)	dressy
tirakî (Efrîn)	elegant
tirakî (Efrîn)	fashionable
tiral	lazy
tiral	sluggard
tiral 	lazy
tirimbêl	car
tirs	anxiety
tirs	apprehension
tirs	fear
tirs	fright
tirs	trepidation
tirsnak	awful
tirsnak	dreadful
tirsnak	formidable
tirsnak	redoubtable
tirsnak	terrible
tirsonek	coward
tirsonek	shy
tirş	acid
tise	rascal
tise	scorn
tişt	thing
tişt	things
tiştek	something
tivil	crust
tivil	peel
tivir	radish
tixub	border
tixub	boundary
tixub	frontier
tî	athirst
tî	thirsty
tîjmar	worm
tîl	smooth
tîl	soft
tîl 	smooth
tîl 	soft
tîmar	cure
tîmar kirin	remedy
tîmargeh	dispensary
tîmargeh	infirmary
tîmarkirin	cure
tîn	caloric
tîn	heat
tîn	warmth
tîp	gale
tîp	letter
tîp	storm
tîrî	intensity
tîş	smooth
tîş	soft
tol	retaliation
tol	revenge
tolaz	vagabond
tolgirtin	take revenge
tolhildan	revenge
tolhildan	vengeance
tolkirin	roll
tomar	record
tomarkirin	enter
tomarkirin	register
top	total
topac	hunk
topac	lump
topac	shapeless object
tor	network
torîk	jackal
tov	data
tov	seed
tozî	slice
tren	train
tu	never
tu	you
tund	severe
tund	strict
tunebûn	absence
tûj	acrid
tûj	acute
tûj	keen
tûj	sharp
tûj	tangy
tûj	trenchant
tûjandin	verification
tûjik	provocation
tûr	sack
tûş	coincidence
tûtya	zinc
û	and
vala	empty
valahî	space
valahî	vacuum
van	these
van	those
varik (Efrîn)	young female hen
vatinî	commission
vatinî	function
vatinî	task
veanîn	bring back
veanîn	take back
vebîn	exploration 
vebîn	explore
vedizîn	hide
vegerin	return
vegerîn	turn
vegerriya	returned
vegerrî	returned
vegotin	relate
vegotin	report
vegotin	statement
vegotin	tell
vegotin	telling
veguhêztin	carry
veguhêztin	convey
veguhêztin	relay
veguhêztin	transmit
vehsan	silence
vekirin	open
vekirin	unclose
vekirin	undo
vekirin	unstop
vekirî	apparent
vekirî	exposed
vekirî	open
vekişîn	scatter
vekişîn	vanish
vekît	spelling
venandin	plant
venasîn	admit
venasîn	confess
veqetandin	disassociate
veqetandin	dissociate
veşartgeh	cover
veşartin	conceal
vewestan	rest
vewestan	stop
vexwarin	drink
vezel	sweater
vezîr	ministers
vê demê	then
vêt	willing
vêt	wish
viyan	demand
vî	him
vîn	willing
vîn	wish
wam 	credit
wam 	debt
wan	their
wan	them
wan	they
wane	lesson
war	area
wargeh	camp
wate	acceptation
wate	denotation
wate	meaning
wate	significance
wate	signification
wek	as
wek	like
wek	same
wekhev	equal
wekhev	same
wekhevî	same
wekî	as
wekî	like
wekî din	else
wekok	copy
wekok	example
wekok	instance
wekok	paradigm
wekok	sample
wekok	specimen
welat	countries
welat	country
welat	land
welê	so
welê	such
weranîn	bring
weranîn	get
werar	development
werar	evolution
werdigire	takes
werê	so
werger	translation
wergerandin	translate
wergêr	interpreter
wergêr	translator
wergirtin	dress
wergirtin	receive
wergirtin	take
werse	muscle
werz	season
wesek	testament
westandin	fatigue
westandin	tire
weşand	published
weşandin	emit
wext	time
wezaret	ministry
wezîr	minister
wê	her
wê	will
wêne	painting
wêne	photo
wêne	picture
wêne	pictures
wêrek	bold
wêrek	fearless
wêrîn	dare
wiha	such
wilo	so
wilo	such
wilo	thus
winda kirin	lose
windakirî	lost
wird	prayer
wisa	so
wize	energy
wî	her
wîze	energy
xak	land
xal	dot
xal	point
xal	spot
xaltî	aunt
xane	house
xanî	edifice
xanî	home
xanî	house
xapandin	bilk
xapandin	cheat
xapandin	deceive
xapandin	defraud
xapandin	diddle
xapandin	impose
xapandin	trick
xar	marble
xasûk	cunning
xasûk	cute
xasûk	foxy
xasûk	leery
xasûk	shrewd
xav	crude
xav	raw
xawên	pride
xax	low
xebat	labour
xebat	performance
xebat kir	worked
xedar	cruel
xelas bû	ended
xelat	award
xelat	gift
xelat	present
xelek	bangle
xeletî	blemish
xeletî	error
xeletî	fault
xeletî	mistake
xeletî	slip
xelk	folk
xem	care
xem	concern
xem	sorrow
xem	trouble
xem	woe
xem	worry
xemgîn	doleful
xemgîn	mournful
xemgîn	sad
xemgîn	sorry
xemgîn	woeful
xeml	decoration
xenzik	cellar
xepar	anchor
xera	bad
xera	broken
xera	evil
xera	haywire
xera	wrong
xerat	joiner
xeter	danger
xetere	danger
xetere	hazard
xetere	jeopardy
xetere	risk
xetere	venture
xeternak	dangerous
xeternak	perilous
xeternak	pestilent
xeternak	unsafe
xewn	dream
xeyal	phantom
xeyal	specter
xezal	gazelle
xêv	memory
xêvik	asinine
xêvik	stupid
xêz	line
xêzkirin	draw
xilt	mole
xirab	wrong
xirandin	cheat
xirandin	deceive
xirandin	defraud
xirandin	impose
xirandin	trick
xirman	absentminded
xirman	distracted
xistin	hit
xistin	lay
xistin	place
xistin	put
xistin	stick
xizan	indigent
xizan	needy
xizan	poor
xizm	relative
xizmet	service
xîm	base
xîm 	basic 
xîret	effort
xîret	honesty
xîret	honor
xîz	sand
xof	anxiety
xof	apprehension
xof	fear
xof	fright
xof	trepidation
xort	boy
xortanî	adolescence
xortanî	youth
xoşewîst	popular
xoştivî	popular
xoza	automatically
xoza	spontaneously
xubar	dust
xubar	powder
xule	minute
xumam	inch
xurek	food
xurek	nutriment
xurt	intense
xurt	potent
xurt	powerful
xurt	robust
xurt	strong
xû	blood
xûjal	bright
xûjal	intelligent
xwar	bad
xwarin	eat
xwarin	food
xwarin	nourishment
xwarin	pabulum
xwaringeh	restaurant
xwe	herself
xwe	himself
xwe	itself
xwe	self
xwe	themselves
xwe têwerkirin (Efrîn)	adventure
xwe têwerkirin (Efrîn)	risk 
xwebêj	meaning
xwecihî	local
xwedî bûn	own
xwedîkirin	feed
xwedîkirin	nourish
xwedîkirin	nurture
xwedîkirin	support
xwegihandin	access
xwelî	cinder
xwelî	ground
xwelî	soil
xwendegeh	school
xwendevan	readers
xwendevan	students
xwendin	read
xwendin	study
xwendkar	student
xweperest	selfish
xwerist	nature
xweriste	impression
xwerû	absolute
xwerû	chaste
xwerû	clean
xwerû	immaculate
xwerû	pure
xwerû	sheer
xweser	autonomic
xweser	autonomous
xweser	original
xwestin	claim
xwestin	demand
xwestin	postulate
xwestin	require
xwestin	want
xwestin	will
xwestin	wish
xweş	fine
xweşdivî	popular
xweştivî	popular
xweza	nature
xwezayi	natural
xwezayî	natural
xwê	salt
xwêdan	perspiration
xwêdan	perspire
xwêdan	sweat
xwêdan	transpire
xwişk	sister
xwiya bû	appeared
xwîn	blood
xwîn	gore
xwîngerm	simpatico
xwîngiran	rude
xwînjêhatin	bleed
ya te	your
ya wan	theirs
ya we	your
ya/yê herî jor	highest
yarîker	gamester
yarîker	player
yaxîbûn	insurgence 
yaxîbûn	rebellion
ye	is
ye/ya herî mezin	biggest
yek	a
yek	any
yek	one
yek	single
yekem tîpa alfabeya inglîzî	a
yekemîn	first
yekgirtî	standard
yekîne	unit
yekîtî	union
yeknesakî	same
yekpare	all
yekpare	entire
yekpare	whole
yeksan	same
yeksane	equal
yekser	forthwith
yekser	immediate
yekser	instant
yekser	instantaneous
yekser	instanter
yekser	pronto
yeqînkirin	believe
yê ku	who
yê te	your
yê we	your
yê wê	its
yê/n me	our
yên din	others
yên te	your
yên we	your
zad	crop
zagon	act
zagon	law
zagon	laws
zagon	rule
zalgeh	checkpoint
zana	sage
zanist	intellectual
zanist	science
zanist	sophisticated
zanistî	scientific
zanîn	know
zanîn	knowledge
zanîngeh	university
zarava	idiom
zarok	child
zarok	children
zarvekirin 	imitate
zarvekirin 	mimic
zat	bold
zat	fearless
zava	son-in-law
zax	line
zayele (Sor.) berdeng	echo 
zayend	breed
zayend	descent
zayend	description
zayend	genealogy
zayend	grade
zayend	kind
zayend	lineage
zayend	sort
zayend	type
zayîn	birth
zeb	bitter
zeb	firm
zeb	hard
zeb	rigorous
zeb	stern
zeb	stiff
zebirandin	control
zeblok	plain
zebûn	desperate
zebûn	frustrated
zebze	vegetable
zeftkirin	catch
zeftkirin	take
zehf	lot
zehf	rather
zehf	very
zekem	cold
zelal	bright
zelal	clear
zelal	lucid
zelal	vivid
zeliqok	glue
zelût	bald
zemawend	wedding
zencîre	series
zend	clarification
zend	explanation
zend	wrist
zeng	rust
zengil	bell
zenî	chin
zepkirin (Efrîn)	control
zerî	beauteous
zerî	beautiful
zerî	fair
zerî	fine
zerî	goodly
zerî	lovely
zerya	sea
zevilkirin (Efrîn)	imitate
zevilkirin (Efrîn)	mimic
zevlek	muscle
zewac	marriage
zewicîn	marry
zewicîn	wed
zexel	fake
zexel	lazy
zexel	sluggard
zexel	unauthentic
zexm	fast
zexm	firm
zexm	hard
zexm	solid
zexm	steady
zexm	substantial
zexmet	hard
zêdekirin	add
zêdetir	more
zêdetir	rather
zêr	aurum
zêstan	menstruation (woman)
zibare	donation
ziha	dragon
zikêşe	jealousy
zilam	fellow
zilam	man
zilam	men
ziman	language
ziman	speech
ziman	tongue
zimandirêj	garrulous
zinar	rock
zindî	alive
zindî	live
zindî	living
zir	fake
zir	unauthentic
zirav	fine
zirav	lank
zirav	light
zirav	slight
zirav	tenuous
zirav	thin
zirehpûş	armored vehicle
zirnezîq	seesaw
zivêr	annoyed
zivêr	upset
zivirandin	turn
zivirînek	turn
ziwa	arid
ziwa	dry
zix	gravel
zix	sand
ziyan	damage
ziyan	detriment
ziyan	disadvantage
ziyan	disservice
ziyan	harm
ziyan	mischief
zîn	saddle
zînde	living
zîper	nape
